timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,instore_area,type
26,E09,20,27.13793103,4.689655172,0.17796635,477.1,1137.766667,0.423195845,1194,E
26,E10,21,44.79310345,9.517241379,0.245065211,425.3,1092.733333,0.392054215,1194,E
26,E11,22,52.86206897,12.96551724,0.242053562,596.0333333,1455.266667,0.412838365,1580,E
26,E12,23,66.68965517,14.03448276,0.219108549,861.4,1874.333333,0.463718549,2096,E
26,E13,24,156.1034483,23.86206897,0.149310185,1433.933333,3319.566667,0.432027711,1555,E
26,E14,25,34,7.517241379,0.222660677,531.6,1399.866667,0.383618032,1465,E
26,E16,1,60.75862069,13.82758621,0.225573728,1056.2,2283.566667,0.471365986,3903,E
26,E17,7,63.27586207,13.17241379,0.206400576,969.8,2195,0.453204354,1882,E
26,P01,11,98.62068966,23.5862069,0.239549842,1208.8,2435.366667,0.509145992,2790,P
26,P02,13,97.86206897,22.13793103,0.235022453,1120.833333,2721.866667,0.418855941,1850,P
26,P03,2,72,16.5862069,0.233117592,1362.066667,2664.4,0.517241596,5000,P
26,P04,3,84.82758621,20.55172414,0.247821378,1293.366667,2749.633333,0.476822633,1910,P
26,P05,4,91.46666667,20.86666667,0.224309884,1482.033333,3187.733333,0.470494027,3500,P
26,P06,5,91.82758621,22.86206897,0.24148459,1504.733333,3782.833333,0.403977219,3634,P
26,P07,6,75.96551724,18.68965517,0.250926268,1149.633333,2421.066667,0.481520484,1907,P
26,P08,8,98.86206897,27,0.264900388,1676.166667,3498.8,0.490752701,5991,P
26,P09,9,154.5333333,41.46666667,0.269697908,1793.1,3544.533333,0.509415849,4624,P
27,E01,10,37.93548387,5.032258065,0.138289098,434,1078.580645,0.401980974,800,E
27,E02,12,54.74193548,12.09677419,0.228902232,774.2580645,1736.903226,0.447167072,1375,E
27,E03,14,37.87096774,9.35483871,0.247303544,612,1537.677419,0.399677599,1507,E
27,E04,15,107.1290323,27.5483871,0.25821689,1097.16129,2365.612903,0.466929324,2118,E
27,E05,16,18.61290323,4.516129032,0.235660749,440.8387097,1096.096774,0.402357865,1300,E
